BID NO,Items,Quantity,Address,Start Date,Start Time,End Time,End Time
GEM/2019/B/230911,OEM Cartridge/ Consumable,2,"Ministry Of Defence Armed Forces Af Stn Memaura Indian Air Force (iaf), 505su",09-05-2019, 08:01 PM,17-05-2019, 09:00 AM
GEM/2019/B/230918,Common And Special Proofed Tarpaulins In Square Mtrs,7,Ministry Of Defence Department Of Defence 966 Tpt Coy Asc Indian Army,09-05-2019, 07:48 PM,17-05-2019, 09:00 AM
GEM/2019/B/230927,Common And Special Proofed Tarpaulins In Square Mtrs,9,Ministry Of Defence Department Of Defence 113 Engineer Regiment N/a,09-05-2019, 08:00 PM,17-05-2019, 09:00 AM
GEM/2019/B/230936,Computer Servers,1,Ministry Of Defence Department Of Defence 29 Ad Regiment Indian Army,09-05-2019, 09:00 PM,17-05-2019, 09:00 AM
GEM/2019/B/230941,Thin Client Computers,2,Ministry Of Defence Department Of Defence 29 Ad Regiment Indian Army,09-05-2019, 09:15 PM,17-05-2019, 09:00 AM
GEM/2019/B/230943,Sanitary Napkins Incinetator Machine With Smoke Control Unit,8,Ministry Of Civil Aviation Airports Authority Of India (aai) Airports Authority Of India/vadodara Airport/wr Airports Authority Of India,09-05-2019, 09:29 PM,17-05-2019, 09:00 AM
GEM/2019/B/230948,Projector Screen,1,Jammu & Kashmir Health And Family Welfare Department Jammu And Kashmir District Tuberculosis Centre N/a,09-05-2019, 10:52 PM,17-05-2019, 09:00 AM
GEM/2019/B/222779,Revolving Chair,1,Ministry Of Defence Department Of Defence Cwe Shillong N/a,26-04-2019, 12:51 PM,17-05-2019, 09:00 AM
GEM/2019/B/228882,Automotive Vehicles Pneumatic Tyres,5,Ministry Of Defence N/a 44 Armoured Regiment Indian Army,08-05-2019, 06:00 PM,17-05-2019, 09:00 AM
GEM/2019/B/227473,Office Suite Software - MS Office Etc,20,"Pmo Na Department Of Space, Isro N/a",05-05-2019, 04:47 PM,17-05-2019, 09:00 AM
